id	value	wdID	rwID
508711	Metabolite	Q27098230	NA
507330	Metabolite	Q413822	NA
509186	Reaction	NA	ReactionID_All:6449
507554	Metabolite	Q181619	NA
509760	Reaction	NA	ReactionID_All:5734
509422	Reaction	NA	ReactionID_All:7368
507661	Metabolite	Q55168356	NA
516586	Reaction	NA	ReactionID_All:7354
507572	Metabolite	Q218642	NA
507444	Metabolite	Q312208	NA
507473	Metabolite	Q27107444	NA
512863	Reaction	NA	ReactionID_All:6382
511038	Reaction	NA	ReactionID_All:7352
516765	Reaction	NA	ReactionID_All:4622
508152	Metabolite	Q310919	NA
513475	Reaction	NA	ReactionID_All:5570
509707	Reaction	NA	ReactionID_All:5647
507626	Metabolite	Q27101910	NA
510914	Reaction	NA	ReactionID_All:1209
507598	Metabolite	Q26995161	NA
514508	Reaction	NA	ReactionID_All:6448
515496	Reaction	NA	ReactionID_All:1205
507929	Metabolite	Q485277	NA
508055	Metabolite	Q5289051	NA
511223	Reaction	NA	ReactionID_All:7366
508180	Metabolite	Q27074278	NA
507582	Metabolite	Q409648	NA
514461	Reaction	NA	ReactionID_All:7346
509657	Reaction	NA	ReactionID_All:2333
510744	Reaction	NA	ReactionID_All:7358
507527	Metabolite	Q27104098	NA
507556	Metabolite	Q28529679	NA
514754	Reaction	NA	ReactionID_All:3183
510124	Reaction	NA	ReactionID_All:158
507467	Metabolite	Q483745	NA
510646	Reaction	NA	ReactionID_All:3201
508017	Metabolite	Q27098186	NA
507327	Metabolite	Q27104095	NA
509183	Reaction	NA	ReactionID_All:116
516253	Reaction	NA	ReactionID_All:6380
510247	Reaction	NA	ReactionID_All:3185
512532	Reaction	NA	ReactionID_All:6680
507908	Metabolite	Q408641	NA
511921	Reaction	NA	ReactionID_All:5018
507645	Metabolite	Q410198	NA
507674	Metabolite	Q620730	NA
516438	Reaction	NA	ReactionID_All:171
508435	Metabolite	Q27125628	NA
512009	Reaction	NA	ReactionID_All:155
514260	Reaction	NA	ReactionID_All:3190
507667	Metabolite	Q424409	NA
513665	Reaction	NA	ReactionID_All:1191
516460	Reaction	NA	ReactionID_All:6503
512134	Reaction	NA	ReactionID_All:5884
512133	Metabolite	Q4545703	NA
507618	Metabolite	Q213580	NA
512032	Reaction	NA	ReactionID_All:5645
509803	Reaction	NA	ReactionID_All:1120
511241	Reaction	NA	ReactionID_All:4536
507453	Metabolite	Q56071533	NA
508060	Metabolite	Q245280	NA
516806	Reaction	NA	ReactionID_All:3431
507462	Metabolite	Q422473	NA
512261	Reaction	NA	ReactionID_All:5867
512260	Metabolite	Q27109160	NA
514934	Reaction	NA	ReactionID_All:5537
507890	Metabolite	Q422462	NA
510882	Reaction	NA	ReactionID_All:1190
510505	Reaction	NA	ReactionID_All:4526
513556	Reaction	NA	ReactionID_All:1169
508563	Metabolite	Q33000848	NA
508498	Metabolite	Q27102062	NA
507377	Metabolite	Q183290	NA
515345	Reaction	NA	ReactionID_All:4414
507647	Metabolite	Q28529685	NA
507967	Metabolite	Q27104317	NA
512315	Reaction	NA	ReactionID_All:4506
512634	Reaction	NA	ReactionID_All:4606
512633	Metabolite	Q7098084	NA
516320	Reaction	NA	ReactionID_All:1123
509811	Reaction	NA	ReactionID_All:2466
507922	Metabolite	Q22124685	NA
507344	Metabolite	Q192466	NA
515386	Reaction	NA	ReactionID_All:1170
512759	Reaction	NA	ReactionID_All:6375
507382	Metabolite	Q186474	NA
509265	Reaction	NA	ReactionID_All:5114
515659	Reaction	NA	ReactionID_All:1212
509356	Reaction	NA	ReactionID_All:3710
507435	Metabolite	Q288236	NA
513674	Reaction	NA	ReactionID_All:1199
514807	Reaction	NA	ReactionID_All:6444
514806	Metabolite	Q4673297	NA
515909	Reaction	NA	ReactionID_All:3603
507458	Metabolite	Q27108902	NA
507809	Metabolite	Q409340	NA
509391	Reaction	NA	ReactionID_All:282
514827	Reaction	NA	ReactionID_All:151
513040	Reaction	NA	ReactionID_All:7357
513498	Reaction	NA	ReactionID_All:2294
510074	Reaction	NA	ReactionID_All:206
507768	Metabolite	Q182990	NA
512035	Reaction	NA	ReactionID_All:2307
508161	Metabolite	Q3008585	NA
511295	Reaction	NA	ReactionID_All:2195
511239	Reaction	NA	ReactionID_All:5919
511653	Reaction	NA	ReactionID_All:2335
515203	Reaction	NA	ReactionID_All:3856
508224	Metabolite	Q7279006	NA
507678	Metabolite	Q32904692	NA
507325	Metabolite	Q412593	NA
513213	Reaction	NA	ReactionID_All:2228
512955	Reaction	NA	ReactionID_All:5927
513208	Reaction	NA	ReactionID_All:2093
509767	Reaction	NA	ReactionID_All:6640
507654	Metabolite	Q27102800	NA
507558	Metabolite	Q40205789	NA
512129	Reaction	NA	ReactionID_All:4318
516374	Reaction	NA	ReactionID_All:6555
507665	Metabolite	Q23905965	NA
513016	Reaction	NA	ReactionID_All:6579
512847	Reaction	NA	ReactionID_All:6473
513029	Reaction	NA	ReactionID_All:6374
511028	Reaction	NA	ReactionID_All:3204
511865	Reaction	NA	ReactionID_All:6510
511809	Reaction	NA	ReactionID_All:4518
508078	Metabolite	Q104219	NA
507404	Metabolite	Q207843	NA
510762	Reaction	NA	ReactionID_All:4496
509559	Reaction	NA	ReactionID_All:31
512822	Reaction	NA	ReactionID_All:4577
507828	Metabolite	Q50350121	NA
516467	Reaction	NA	ReactionID_All:7367
507642	Metabolite	Q422964	NA
515800	Reaction	NA	ReactionID_All:2183
509306	Reaction	NA	ReactionID_All:2232
513465	Reaction	NA	ReactionID_All:32
515219	Reaction	NA	ReactionID_All:1211
512268	Reaction	NA	ReactionID_All:3186
515095	Reaction	NA	ReactionID_All:3182
508018	Metabolite	Q27124717	NA
513948	Reaction	NA	ReactionID_All:285
510648	Reaction	NA	ReactionID_All:92
511246	Reaction	NA	ReactionID_All:4181
511212	Reaction	NA	ReactionID_All:1131
507593	Metabolite	Q139857	NA
507511	Metabolite	Q408658	NA
507477	Metabolite	Q424590	NA
514003	Reaction	NA	ReactionID_All:1225
510970	Reaction	NA	ReactionID_All:5169
512421	Reaction	NA	ReactionID_All:964
511724	Reaction	NA	ReactionID_All:3127
508127	Metabolite	Q27104150	NA
507651	Metabolite	Q27104100	NA
508801	Metabolite	Q27089440	NA
508430	Metabolite	Q27089462	NA
511758	Reaction	NA	ReactionID_All:1219
510284	Reaction	NA	ReactionID_All:1115
508043	Metabolite	Q2813820	NA
515786	Reaction	NA	ReactionID_All:1160
508362	Metabolite	Q59652821	NA
515529	Reaction	NA	ReactionID_All:1269
514120	Reaction	NA	ReactionID_All:1166
512849	Reaction	NA	ReactionID_All:1108
507998	Metabolite	Q484940	NA
511131	Reaction	NA	ReactionID_All:1268
513639	Reaction	NA	ReactionID_All:5928
508196	Metabolite	Q27104292	NA
509044	Metabolite	Q27089451	NA
509746	Reaction	NA	ReactionID_All:3995
516913	Reaction	NA	ReactionID_All:2162
507519	Metabolite	Q27124401	NA
509503	Reaction	NA	ReactionID_All:3989
508605	Metabolite	Q3528332	NA
507837	Metabolite	Q178450	NA
514105	Reaction	NA	ReactionID_All:1206
515207	Reaction	NA	ReactionID_All:5614
508744	Metabolite	Q23905808	NA
513719	Reaction	NA	ReactionID_All:5548
507791	Metabolite	Q419560	NA
516726	Reaction	NA	ReactionID_All:1179
515066	Reaction	NA	ReactionID_All:2209
514569	Reaction	NA	ReactionID_All:5244
508228	Metabolite	Q306140	NA
513721	Reaction	NA	ReactionID_All:5544
515320	Reaction	NA	ReactionID_All:1838
511185	Reaction	NA	ReactionID_All:5540
512047	Reaction	NA	ReactionID_All:5225
515354	Reaction	NA	ReactionID_All:5917
509489	Reaction	NA	ReactionID_All:3055
513490	Reaction	NA	ReactionID_All:5800
508126	Metabolite	Q4634163	NA
512985	Reaction	NA	ReactionID_All:1182
511457	Reaction	NA	ReactionID_All:1839
515537	Reaction	NA	ReactionID_All:1145
507334	Metabolite	Q27104171	NA
511428	Reaction	NA	ReactionID_All:5689
507938	Metabolite	Q27102203	NA
515151	Reaction	NA	ReactionID_All:5581
507982	Metabolite	Q27104844	NA
512941	Reaction	NA	ReactionID_All:5598
510541	Reaction	NA	ReactionID_All:7193
514380	Reaction	NA	ReactionID_All:5573
508627	Metabolite	Q27104644	NA
508274	Metabolite	Q4673311	NA
511024	Reaction	NA	ReactionID_All:7076
508062	Metabolite	Q28529674	NA
512764	Reaction	NA	ReactionID_All:7117
508827	Metabolite	Q27103664	NA
508921	Metabolite	Q27102446	NA
513881	Reaction	NA	ReactionID_All:7077
516486	Reaction	NA	ReactionID_All:312
508209	Metabolite	Q27098422	NA
511184	Reaction	NA	ReactionID_All:311
